,Unnamed: 0,user_id,project_id,title,adult_content,description,instructions_flag,requester_id,requester_trusted_flag,project_stat,avg_money_hourly,moneyMed,moneyTop10,moneyMax3,pool_id,pool_started_at,task_attempted_flag,country,user_language,birth_day,joined,age
10,10,1316040758.0,73686.0,Microsoft Bing App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.76,0.482143,0.0,0.06,0.0,36474222.0,2022-11-21T03:09:43.000Z,,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
11,11,1316040758.0,73686.0,Microsoft Bing App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.67,0.396476,0.0,0.19,0.0,36661071.0,2022-12-02T10:03:28.000Z,,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
12,12,1316040758.0,73686.0,Microsoft Bing App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.64,0.394737,0.0,0.17,0.0,36661080.0,2022-12-02T10:03:31.000Z,,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
13,13,1316040758.0,80759.0,Microsoft Start App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.24,0.422535,0.0,0.03,0.0,36474370.0,2022-11-21T03:23:58.000Z,,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
14,14,1316040758.0,80759.0,Microsoft Start App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.23,0.409091,0.0,0.03,0.0,36477387.0,2022-11-21T08:01:57.000Z,,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
15,15,1316040758.0,80759.0,Microsoft Start App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.09,0.430622,0.0,0.08,0.0,36477390.0,2022-12-05T02:19:49.000Z,,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
16,16,1316040758.0,80759.0,Microsoft Start App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.08,0.516747,0.0,0.05,0.0,36661998.0,2022-12-02T10:10:55.000Z,,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
17,17,1316040758.0,80759.0,Microsoft Start App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.03,0.48,0.0,0.05,0.0,36661999.0,2022-12-02T10:11:02.000Z,,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
18,18,1316040758.0,80759.0,Microsoft Start App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.08,0.430622,0.0,0.05,0.0,36704853.0,2022-12-05T10:24:39.000Z,,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
19,19,1316040758.0,80759.0,Microsoft Start App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.03,0.4,0.0,0.05,0.0,36704855.0,2022-12-05T10:24:42.000Z,,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
20,22,1316040758.0,105897.0,Take 10 photos of your face,0,You need to take 10 photos of your face according to the instruction: 2 face photos from identity cards + 2 indoor selfies + 2 outdoor selfies + 4 indoor selfies on a webcam or phone (according to the special method in the instruction),1,d110f9fcd12deb90ed5f5a0378d72b4b,0,4.2,1.08043,0.0,0.18,1.28,36452261.0,2022-12-09T21:13:14.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
21,23,1316040758.0,105897.0,Take 10 photos of your face,0,You need to take 10 photos of your face according to the instruction: 2 face photos from identity cards + 2 indoor selfies + 2 outdoor selfies + 4 indoor selfies on a webcam or phone (according to the special method in the instruction),1,d110f9fcd12deb90ed5f5a0378d72b4b,0,4.2,1.08043,0.0,0.18,1.28,36452261.0,2022-12-09T21:13:14.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
22,24,1316040758.0,105897.0,Take 10 photos of your face,0,You need to take 10 photos of your face according to the instruction: 2 face photos from identity cards + 2 indoor selfies + 2 outdoor selfies + 4 indoor selfies on a webcam or phone (according to the special method in the instruction),1,d110f9fcd12deb90ed5f5a0378d72b4b,0,4.2,1.08043,0.0,0.18,1.28,36452336.0,2022-12-09T21:13:46.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
23,25,1316040758.0,105897.0,Take 10 photos of your face,0,You need to take 10 photos of your face according to the instruction: 2 face photos from identity cards + 2 indoor selfies + 2 outdoor selfies + 4 indoor selfies on a webcam or phone (according to the special method in the instruction),1,d110f9fcd12deb90ed5f5a0378d72b4b,0,4.2,1.08043,0.0,0.18,1.28,36452336.0,2022-12-09T21:13:46.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
24,26,1316040758.0,105897.0,Take 10 photos of your face,0,You need to take 10 photos of your face according to the instruction: 2 face photos from identity cards + 2 indoor selfies + 2 outdoor selfies + 4 indoor selfies on a webcam or phone (according to the special method in the instruction),1,d110f9fcd12deb90ed5f5a0378d72b4b,0,4.2,1.08043,0.09,0.17,1.11,36452445.0,2022-12-09T14:00:34.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
25,27,1316040758.0,105897.0,Take 10 photos of your face,0,You need to take 10 photos of your face according to the instruction: 2 face photos from identity cards + 2 indoor selfies + 2 outdoor selfies + 4 indoor selfies on a webcam or phone (according to the special method in the instruction),1,d110f9fcd12deb90ed5f5a0378d72b4b,0,4.2,1.08043,0.09,0.17,1.11,36452445.0,2022-12-09T14:00:34.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
26,28,1316040758.0,105897.0,Take 10 photos of your face,0,You need to take 10 photos of your face according to the instruction: 2 face photos from identity cards + 2 indoor selfies + 2 outdoor selfies + 4 indoor selfies on a webcam or phone (according to the special method in the instruction),1,d110f9fcd12deb90ed5f5a0378d72b4b,0,4.2,2.16086,0.09,0.17,0.0,36452574.0,2022-12-09T14:00:36.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
27,29,1316040758.0,105897.0,Take 10 photos of your face,0,You need to take 10 photos of your face according to the instruction: 2 face photos from identity cards + 2 indoor selfies + 2 outdoor selfies + 4 indoor selfies on a webcam or phone (according to the special method in the instruction),1,d110f9fcd12deb90ed5f5a0378d72b4b,0,4.2,2.16086,0.09,0.17,0.0,36452574.0,2022-12-09T14:00:36.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
28,30,1316040758.0,105897.0,Take 10 photos of your face,0,"Send in 10 photos of your relative/friend/acquaintance, taken according to the instructions. 
Each new set of 10 photos must include a new person who has never done the assignment before.
You cannot re-submit your photos, the assignment will be rejected.",1,d110f9fcd12deb90ed5f5a0378d72b4b,0,4.26,3.27174,0.0,0.17,0.0,36452603.0,2022-12-08T23:20:10.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
29,31,1316040758.0,105897.0,Take 10 photos of your face,0,"Send in 10 photos of your relative/friend/acquaintance, taken according to the instructions. 
Each new set of 10 photos must include a new person who has never done the assignment before.
You cannot re-submit your photos, the assignment will be rejected.",1,d110f9fcd12deb90ed5f5a0378d72b4b,0,4.26,3.27174,0.0,0.17,0.0,36452603.0,2022-12-08T23:20:10.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
30,32,1316040758.0,105897.0,Take 10 photos of your face,0,You need to take 10 photos of your face according to the instruction: 2 face photos from identity cards + 2 indoor selfies + 2 outdoor selfies + 4 indoor selfies on a webcam or phone (according to the special method in the instruction),1,d110f9fcd12deb90ed5f5a0378d72b4b,0,4.21,1.08043,0.0,0.18,1.28,36452630.0,2022-12-09T10:20:06.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
31,33,1316040758.0,105897.0,Take 10 photos of your face,0,You need to take 10 photos of your face according to the instruction: 2 face photos from identity cards + 2 indoor selfies + 2 outdoor selfies + 4 indoor selfies on a webcam or phone (according to the special method in the instruction),1,d110f9fcd12deb90ed5f5a0378d72b4b,0,4.21,1.08043,0.0,0.18,1.28,36452630.0,2022-12-09T10:20:06.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
32,34,1316040758.0,118365.0,Make photo of receipts,1,"You need to take a photo of  receipts, as in the instructions.",1,f8b3c2e55fcbe54b3666a2bdfc85fa4a,0,4.03,0.574468,0.0,0.03,0.0,36215307.0,2022-12-05T09:29:06.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
33,38,1316040758.0,121728.0,🤖 3D segmentation for newbies 🧑‍🎓,0,"This is a project to select the best performers for the main project.
If the price is $0, then we pay a $2 bonus for the task after manual verification.",1,01343209e7a50eaefd035bbe155a6a62,0,0.0,0.0,1.25,1.5,1.25,36601584.0,2022-12-04T11:11:53.000Z,,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
34,39,1316040758.0,121728.0,🤖 3D segmentation for newbies 🧑‍🎓,0,"This is a project to select the best performers for the main project.
The price is $2, and we pay a $2 bonus for the task after manual verification.",1,01343209e7a50eaefd035bbe155a6a62,0,3.15,0.439775,4.75,15.75,15.5,36703863.0,2022-12-08T07:53:08.000Z,,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
35,40,1684019585.0,49390.0,Entity image selection,1,"From the selection of images for the entity(person/place/thing), use the guidelines in the instructions to select the best image.",1,81ae1299dd10f764a6e59ac1c08a8a18,0,4.92,2.14286,0.04,0.06,0.0,36770631.0,2022-12-09T15:07:41.000Z,True,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
36,41,1684019585.0,49390.0,Entity image selection,1,"From the selection of images for the entity(person/place/thing), use the guidelines in the instructions to select the best image.",1,81ae1299dd10f764a6e59ac1c08a8a18,0,4.92,2.14286,0.04,0.06,0.0,36770631.0,2022-12-09T15:07:41.000Z,True,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
37,42,1684019585.0,49390.0,Entity image selection,1,"From the selection of images for the entity(person/place/thing), use the guidelines in the instructions to select the best image.",1,81ae1299dd10f764a6e59ac1c08a8a18,0,4.92,2.14286,0.04,0.06,0.0,36770631.0,2022-12-09T15:07:41.000Z,True,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
38,43,1684019585.0,49390.0,Entity image selection,1,"From the selection of images for the entity(person/place/thing), use the guidelines in the instructions to select the best image.",1,81ae1299dd10f764a6e59ac1c08a8a18,0,4.92,2.16867,0.04,0.06,0.0,36775179.0,2022-12-09T22:25:32.000Z,True,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
39,44,1684019585.0,49390.0,Entity image selection,1,"From the selection of images for the entity(person/place/thing), use the guidelines in the instructions to select the best image.",1,81ae1299dd10f764a6e59ac1c08a8a18,0,4.92,2.16867,0.04,0.06,0.0,36775179.0,2022-12-09T22:25:32.000Z,True,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
40,45,1684019585.0,49390.0,Entity image selection,1,"From the selection of images for the entity(person/place/thing), use the guidelines in the instructions to select the best image.",1,81ae1299dd10f764a6e59ac1c08a8a18,0,4.92,2.16867,0.04,0.06,0.0,36775179.0,2022-12-09T22:25:32.000Z,True,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
41,46,1684019585.0,54170.0,Microsoft Bing App test,1,"Hello performer,
First of all, you are welcome to participate in our activity. This activity is divided into two steps. You need to complete a short quiz and complete the following questions as required. If your accuracy is up to the standard, you can pass the quiz and enter the formal test Event, after the official event is reached, you can receive the reward you want; on the contrary, if the accuracy rate in the following test is not up to the standard or you do not respond as required, it will be regarded as a failure, and you will not be able to participate in the subsequent activities. I believe everyone It can be done, let's start now, come on!",1,cac5dc1b192cc52dc166e5a1fecf6161,0,4.54,0.0,0.0,0.0,0.0,35422387.0,2022-09-15T08:17:22.000Z,True,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
42,47,1684019585.0,54170.0,Microsoft Bing App test,1,"Hello performer,
First of all, you are welcome to participate in our activity. This activity is divided into two steps. You need to complete a short quiz and complete the following questions as required. If your accuracy is up to the standard, you can pass the quiz and enter the formal test Event, after the official event is reached, you can receive the reward you want; on the contrary, if the accuracy rate in the following test is not up to the standard or you do not respond as required, it will be regarded as a failure, and you will not be able to participate in the subsequent activities. I believe everyone It can be done, let's start now, come on!",1,cac5dc1b192cc52dc166e5a1fecf6161,0,4.54,0.0,0.0,0.0,0.0,35422387.0,2022-09-15T08:17:22.000Z,True,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
43,48,1684019585.0,54170.0,Microsoft Bing App test,1,"Hello performer,
First of all, you are welcome to participate in our activity. This activity is divided into two steps. You need to complete a short quiz and complete the following questions as required. If your accuracy is up to the standard, you can pass the quiz and enter the formal test Event, after the official event is reached, you can receive the reward you want; on the contrary, if the accuracy rate in the following test is not up to the standard or you do not respond as required, it will be regarded as a failure, and you will not be able to participate in the subsequent activities. I believe everyone It can be done, let's start now, come on!",1,cac5dc1b192cc52dc166e5a1fecf6161,0,4.54,0.0,0.0,0.0,0.0,35422409.0,2022-09-15T08:19:00.000Z,True,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
44,49,1684019585.0,54170.0,Microsoft Bing App test,1,"Hello performer,
First of all, you are welcome to participate in our activity. This activity is divided into two steps. You need to complete a short quiz and complete the following questions as required. If your accuracy is up to the standard, you can pass the quiz and enter the formal test Event, after the official event is reached, you can receive the reward you want; on the contrary, if the accuracy rate in the following test is not up to the standard or you do not respond as required, it will be regarded as a failure, and you will not be able to participate in the subsequent activities. I believe everyone It can be done, let's start now, come on!",1,cac5dc1b192cc52dc166e5a1fecf6161,0,4.54,0.0,0.0,0.0,0.0,35422409.0,2022-09-15T08:19:00.000Z,True,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
45,50,1684019585.0,73686.0,Microsoft Bing App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.76,0.482143,0.0,0.06,0.0,36474222.0,2022-11-21T03:09:43.000Z,,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
46,51,1684019585.0,73686.0,Microsoft Bing App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.67,0.396476,0.0,0.19,0.0,36661071.0,2022-12-02T10:03:28.000Z,,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
47,52,1684019585.0,73686.0,Microsoft Bing App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.64,0.394737,0.0,0.17,0.0,36661080.0,2022-12-02T10:03:31.000Z,,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
48,53,1684019585.0,80759.0,Microsoft Start App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.24,0.422535,0.0,0.03,0.0,36474370.0,2022-11-21T03:23:58.000Z,,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
49,54,1684019585.0,80759.0,Microsoft Start App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.23,0.409091,0.0,0.03,0.0,36477387.0,2022-11-21T08:01:57.000Z,,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
50,55,1684019585.0,80759.0,Microsoft Start App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.09,0.430622,0.0,0.08,0.0,36477390.0,2022-12-05T02:19:49.000Z,,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
51,56,1684019585.0,80759.0,Microsoft Start App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.08,0.516747,0.0,0.05,0.0,36661998.0,2022-12-02T10:10:55.000Z,,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
52,57,1684019585.0,80759.0,Microsoft Start App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.03,0.48,0.0,0.05,0.0,36661999.0,2022-12-02T10:11:02.000Z,,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
53,58,1684019585.0,80759.0,Microsoft Start App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.08,0.430622,0.0,0.05,0.0,36704853.0,2022-12-05T10:24:39.000Z,,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
54,59,1684019585.0,80759.0,Microsoft Start App bug bash,1,"Thank you for participating in this test. 
In this task, you need to test our application and find some bugs during the test. It is recommended that you find as many bugs as possible, because if you find bugs, you will get basic rewards. And if the bug is important, you will get extra rewards.",0,cac5dc1b192cc52dc166e5a1fecf6161,0,4.03,0.4,0.0,0.05,0.0,36704855.0,2022-12-05T10:24:42.000Z,,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
55,62,1684019585.0,105897.0,Take 10 photos of your face,0,You need to take 10 photos of your face according to the instruction: 2 face photos from identity cards + 2 indoor selfies + 2 outdoor selfies + 4 indoor selfies on a webcam or phone (according to the special method in the instruction),1,d110f9fcd12deb90ed5f5a0378d72b4b,0,4.2,1.08043,0.0,0.18,1.28,36452261.0,2022-12-09T21:13:14.000Z,True,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
56,63,1684019585.0,105897.0,Take 10 photos of your face,0,You need to take 10 photos of your face according to the instruction: 2 face photos from identity cards + 2 indoor selfies + 2 outdoor selfies + 4 indoor selfies on a webcam or phone (according to the special method in the instruction),1,d110f9fcd12deb90ed5f5a0378d72b4b,0,4.2,1.08043,0.0,0.18,1.28,36452261.0,2022-12-09T21:13:14.000Z,True,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
57,64,1684019585.0,105897.0,Take 10 photos of your face,0,You need to take 10 photos of your face according to the instruction: 2 face photos from identity cards + 2 indoor selfies + 2 outdoor selfies + 4 indoor selfies on a webcam or phone (according to the special method in the instruction),1,d110f9fcd12deb90ed5f5a0378d72b4b,0,4.2,1.08043,0.0,0.18,1.28,36452336.0,2022-12-09T21:13:46.000Z,True,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
58,65,1684019585.0,105897.0,Take 10 photos of your face,0,You need to take 10 photos of your face according to the instruction: 2 face photos from identity cards + 2 indoor selfies + 2 outdoor selfies + 4 indoor selfies on a webcam or phone (according to the special method in the instruction),1,d110f9fcd12deb90ed5f5a0378d72b4b,0,4.2,1.08043,0.0,0.18,1.28,36452336.0,2022-12-09T21:13:46.000Z,True,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
59,66,1684019585.0,105897.0,Take 10 photos of your face,0,You need to take 10 photos of your face according to the instruction: 2 face photos from identity cards + 2 indoor selfies + 2 outdoor selfies + 4 indoor selfies on a webcam or phone (according to the special method in the instruction),1,d110f9fcd12deb90ed5f5a0378d72b4b,0,4.2,1.08043,0.09,0.17,1.11,36452445.0,2022-12-09T14:00:34.000Z,True,ET,"AM,EN,",1998-10-04,2022-09-06T00:00:00.000Z,24
